round,player_hand,dealer_hand,actions,reward
417,"10,6,4","3,8,5,10","1,0",1
418,"10,2,10","4,5,6,7",2,-1
419,"3,7,11","10,5,2",2,1
420,"11,10","3,7,8",0,1
421,"7,6","10,11",,-1
422,"2,10,8","7,7,10",2,1
423,"5,9,5","11,6",2,1
424,"6,11,9","10,10",2,-1
425,"5,8,5","4,10,9",2,1
426,"10,10","5,8,10",0,1
427,"3,2","6,10,4",0,-1
428,"10,10","7,5,10",0,1
429,"10,6,10","10,10",2,-1
430,"2,8,9","2,2,5,10",2,0
431,"11,4,4","5,9,10","1,0",1
432,"4,9","11,10",,-1
433,"10,9,10","10,10",1,-1
434,"6,10","11,10",,-1
435,"2,10,4","4,8,11,10",2,1
436,"7,10,8","10,6,4",2,-1
437,"6,7","11,10",,-1
438,"7,4,3","10,7",2,-1
439,"6,7,10","3,10,9",2,-1
440,"2,9,4","5,9,10",2,1
441,"10,2,3","8,11",2,-1
442,"10,6,4","10,8",2,1
443,"3,4,11","2,10,10",2,1
444,"11,10","7,10",0,1
445,"10,6,4","10,5,11,3",2,1
446,"7,11,9,9","4,9,5","1,1",-1
447,"10,5,11","8,10",2,-1
448,"11,10","10,4,8",3,1
448,"11,10","10,4,8",3,1
449,"10,11","4,4,5,3,6",0,1
450,"2,11,7","3,10,4",2,1
451,"10,3,10","10,10",2,-1
452,"10,10","6,7,10",0,1
453,"5,5","10,11",,-1
454,"10,10,10","11,5,10,4",1,-1
455,"10,7,6","10,10","3,2",-1
455,"10,10","10,10","3,2",0
456,"2,7,7","3,10,10",2,1
457,"3,2,7","8,10",2,-1
458,"2,9,10","10,8",2,1
459,"10,11","9,9",0,1
460,"10,7,10","10,9",2,-1
461,"10,5,10","2,7,10",1,-1
462,"10,9","7,3,9",0,0
463,"5,10,10","4,10,2,3",1,-1
464,"7,10,8","10,8","3,3,1",-1
464,"7,6","10,8","3,3,1",-1
464,"7,9","10,8","3,3,1",-1
465,"10,6,6","11,8",2,-1
466,"7,5,6","9,9",2,0
467,"8,4,2","10,10",2,-1
468,"8,10","6,11",0,1
469,"9,3,10","8,7,4",2,-1
470,"6,9,4","6,7,10","1,0",1
471,"9,10,9","10,2,5",1,-1
472,"10,10","10,10",0,0
473,"11,7,8","10,6,11","1,0",-1
474,"11,6,10,6","10,7","1,1",-1
475,"10,10","7,4,8",0,1
476,"10,2,3","10,10","3,2",-1
476,"10,11","10,10","3,2",1
477,"2,6,10","5,5,4,10",2,1
478,"10,8","2,9,6",0,1
479,"10,11","10,10",0,1
480,"11,4,10,10","6,4,5,10","1,1",-1
481,"6,9,10","11,8",2,-1
482,"10,2,10","11,8",2,-1
483,"3,2,8","5,2,4,3,10",2,1
484,"4,2,5","5,8,7",2,-1
485,"8,3,10","4,11,6",2,0
486,"10,2,3","10,6,2",2,-1
487,"10,10","6,5,6",0,1
488,"10,10","10,6,3",0,1
489,"6,8","10,11",,-1
490,"9,10","3,10,10",0,1
491,"10,10","8,6,10",0,1
492,"2,10,3","4,10,10",2,1
493,"10,7,7","10,6,10",1,-1
494,"2,9,6","3,7,10",2,-1
495,"3,9,10","8,11",2,-1
496,"10,7,8","8,4,10",1,-1
497,"7,8,10","4,7,4,5",1,-1
498,"8,10","2,7,9",0,0
499,"10,10","11,10",,-1
500,"10,7,3","5,4,5,5","1,0",1
501,"6,10,7","6,3,10",1,-1
502,"11,10","8,10",0,1
503,"5,2,8","3,4,11","3,3,2",-1
503,"5,10","3,4,11","3,3,2",-1
503,"5,7","3,4,11","3,3,2",-1
504,"7,9,9","7,10",1,-1
505,"4,2,9","4,10,3",2,-1
506,"4,10,3","10,9",2,-1
507,"7,2,6","2,8,6,11",2,-1
508,"2,10,8","10,4,10",2,1
509,"2,4","11,10",,-1
510,"2,10,10","2,10,11,6",2,-1
511,"9,11","6,10,5",0,-1
512,"10,8,7","9,2,3,5",1,-1
513,"6,9,10","10,3,5",2,-1
514,"11,5,10","11,9",2,-1
515,"2,5,7","10,2,11,6",2,-1
516,"10,5,3,5","5,10,10","1,1",-1
517,"4,7,4","3,8,11,8",2,-1
518,"10,6,10","2,10,7",1,-1
519,"10,4,9","9,8",2,-1
520,"5,10,10","10,10",2,-1
521,"10,3,10","9,2,6",2,-1
522,"9,2,10","10,10",2,1
523,"3,6,10","10,10",2,-1
524,"10,10,2","9,10",1,-1
525,"11,7,8,10","4,10,5","1,1",-1
526,"5,10,3,7","3,7,11","1,1",-1
527,"2,8,4","10,10",2,-1
528,"10,10","2,3,4,10",0,1
529,"6,10,2","10,10","3,2",-1
529,"6,8","10,10","3,2",-1
530,"4,10,3","5,11,9,10",2,1
531,"4,10,11,7","2,9,7","1,1",-1
532,"2,6","10,11",,-1
533,"11,7","11,10",,-1
534,"10,8,7","10,4,10",2,-1
535,"6,10,10","9,4,3,10",2,-1
536,"5,3,10","10,5,8",2,1
537,"11,9,4","10,10","1,0",-1
538,"8,4","10,11",,-1
539,"7,10,10","5,10,7",1,-1
540,"11,2,10","7,9,10",2,1
541,"3,2","4,11,10,10",0,1
542,"6,10,3","3,3,10,11","1,0",1
543,"10,9,6","8,3,10",1,-1
544,"10,8","2,10,6",0,0
545,"8,11","5,2,10",0,1
546,"5,10,8","10,5,4",2,-1
547,"10,8","2,4,11",0,1
548,"9,3,10","10,3,10",2,-1
549,"5,10,10","10,10",2,-1
550,"9,2,6","7,9,8",2,1
551,"10,7,10","10,8",2,-1
552,"4,10,7","10,5,8",2,1
553,"6,10,2","10,9",2,-1
554,"10,2,4","6,11",2,-1
555,"7,10,9","9,2,3,10",1,-1
556,"10,7,10","10,4,10",2,-1
557,"11,3,6","11,6",2,1
558,"2,9,10","11,7",2,1
559,"4,2","3,5,8,6",0,1
560,"8,11,8,2,7","10,7","1,1,1",-1
561,"9,6,2","10,10",2,-1
562,"10,9","3,5,3,5,10",0,1
563,"6,3,10","9,7,5","3,2",-1
563,"6,4","9,7,5","3,2",-1
564,"5,10,7","10,2,5",2,-1
565,"10,2,8","9,9",2,1
566,"4,7,9","11,5,4",2,0
567,"8,4,5","10,6,10","3,2",1
567,"8,3","10,6,10","3,2",1
568,"8,8,9","7,3,4,10",1,-1
569,"4,8,5","10,7",2,0
570,"9,10","8,4,3,11,10",0,1
571,"10,4,7","6,7,9",2,1
572,"10,11","2,9,8",0,1
573,"6,5,10","4,2,9,10","3,2",1
573,"6,11","4,2,9,10","3,2",1
574,"7,10,9","10,6,10",2,-1
575,"10,2,3","3,10,10",2,1
576,"8,5,10","3,10,9",1,-1
577,"4,6,10","7,10",2,1
578,"10,11","6,5,8",0,1
579,"8,10,10","9,3,7",1,-1
580,"10,4","11,10",,-1
581,"2,10,4,6","2,5,8,10","1,1",-1
582,"3,10,4","4,8,10","1,0",1
583,"7,8,11","9,10",2,-1
584,"10,9","3,10,10",0,1
585,"4,2","3,7,10",0,-1
586,"5,10,10","10,4,9",2,-1
587,"6,3,10","10,9",2,0
588,"3,10,10","2,10,10",1,-1
589,"7,10","2,2,2,10,8",0,1
590,"9,10,11,10","10,7","1,1",-1
591,"5,9,10","10,10",2,-1
592,"9,5,3","10,2,10",2,1
593,"3,10,5","10,2,3,10",2,1
594,"8,10","4,2,11",0,1
595,"6,2,2","7,3,8",2,-1
596,"5,8,8","6,5,8",2,1
597,"6,10,7","4,9,4",1,-1
598,"8,6,11","9,2,10",2,-1
599,"11,5,8","6,10,7","1,0",1
600,"3,10,7","5,10,4",2,1
601,"8,7,11,8","6,11","1,1",-1
602,"10,10","2,10,6",0,1
603,"5,11,7","4,10,6","1,0",-1
604,"8,10","3,10,10",0,1
605,"10,5,11,7","6,8,9","1,1",-1
606,"11,8,2","10,10",1,1
607,"10,11","10,10",0,1
608,"10,11","10,7",0,1
609,"8,9","10,11",,-1
610,"3,6,10","10,5,10",2,1
611,"10,11","8,6,4",0,1
612,"5,10,2","10,7",2,0
613,"2,4,10","2,11,10,4",2,-1
614,"10,10","8,7,5",0,0
615,"11,6","2,8,6,7","3,0",1
615,"11,10","2,8,6,7","3,0",1
616,"8,6,10","9,11",2,-1
617,"8,2,6","10,3,4",2,-1
618,"3,2","6,5,6",0,-1
619,"6,10,4","6,11",2,1
620,"4,6,7","10,6,4",2,-1
621,"10,11","7,2,10",0,1
622,"4,2,7","9,5,2,8",2,1
623,"10,10","10,10",0,0
624,"9,4,8","9,7,8",2,1
625,"5,2,10","5,9,4","3,2",-1
625,"5,10","5,9,4","3,2",-1
626,"4,6,10","8,5,10",2,1
627,"3,10,6","10,9",2,0
628,"5,2,4","5,5,2,3,2",2,-1
629,"10,11","6,10,11",0,1
630,"3,7","10,11",,-1
631,"5,10,3","10,7",2,1
632,"4,10,7","3,8,4,6",1,0
633,"9,6,7","4,10,8",1,-1
634,"10,5,10","3,10,2,2",1,-1
635,"10,4,7","10,10",2,1
636,"10,8","4,8,10",0,1
637,"10,11","9,9",0,1
638,"3,10,10","10,4,10",2,-1
639,"8,9,10","9,5,8",1,-1
640,"3,2,10","11,2,5",2,-1
641,"10,5,5","6,3,6,10","1,0",1
642,"10,4,7","10,2,10",2,1
643,"6,11,6","9,5,4","1,0",-1
644,"3,10,6","5,8,10",2,1
645,"3,11,5","9,9",2,1
646,"7,11,8","9,11","1,0",-1
