round,player_hand,dealer_hand,actions,result
316,"4,10,11,9","4,10,10","1,1",-1
317,"8,10","11,10",,-1
318,"7,10,9","7,10",1,-1
319,"7,4,11","3,11,9,10",2,0
320,"10,4,3","9,8","1,0",0
321,"10,10","10,10",0,0
322,"10,4","6,9,5",0,-1
323,"10,10","2,2,3,10",0,1
324,"10,7,8","9,2,5,10",2,-1
325,"3,7,7","6,8,2,11",2,0
326,"10,4,11","9,10",2,-1
327,"10,10","8,10",0,1
328,"6,10,6","5,4,6,9",1,-1
329,"10,4,6","8,8,3",2,1
330,"10,7,3","5,5,10","1,0",0
331,"9,2,6","10,2,3,2",2,0
332,"8,9,7","10,10",2,-1
333,"10,10","7,6,7",0,0
334,"5,10,3,10","5,3,11","1,1",-1
335,"10,2,10","9,9",2,-1
336,"3,6,10","8,10",2,1
337,"6,5,10","8,9",2,1
338,"5,10,4","3,11,4","1,0",1
339,"5,8,5","10,2,5",2,1
340,"10,8,11,4","9,5,7","1,1",-1
341,"10,8,9","10,10",2,-1
342,"10,6,11,3","6,10,6","1,1,0",0
343,"7,11,2","4,5,10","1,0",1
344,"10,11","4,10,10",0,1
345,"6,2,9","10,8",2,-1
346,"5,6,4","10,9",2,-1
347,"8,10,9","8,10",1,-1
348,"2,11,10","5,11,11",2,-1
349,"4,7,6","10,7",2,0
350,"11,7,10,10","5,11,10,4","1,1",-1
351,"5,10,10","4,10,7",1,-1
352,"2,10,8","2,2,7,9","1,0",0
353,"6,4","11,10",,-1
354,"7,11,10,5","6,10,11","1,1",-1
355,"5,11,2,10,6","5,10,2","1,1,1",-1
356,"10,6,4","3,10,10","1,0",0
357,"3,7,10","2,8,3,4",2,1
358,"9,4,9","10,4,7",2,-1
359,"2,10,5","11,7",2,-1
360,"6,10,9","9,9",2,-1
361,"2,10,10","10,3,10",2,-1
362,"8,11,7","10,7","1,0",-1
363,"10,2,10","4,5,9",2,-1
364,"3,10,10","3,7,6,3",1,-1
365,"3,2","9,11",0,-1
366,"3,6,6","5,2,11",2,-1
367,"10,10","10,10",0,0
368,"10,10","4,5,10",0,1
369,"10,3,10","10,10",2,-1
370,"9,4","10,11",,-1
371,"2,3","10,3,2,10",0,0
372,"7,5,6","8,11",2,-1
373,"4,10,5","6,11","1,0",1
374,"6,8,8","2,2,7,11,4,5",1,-1
375,"6,10,10","11,4,10,5",2,-1
376,"11,10","8,10",0,1
377,"8,9","9,8",0,0
378,"5,3,4","5,7,10",2,0
379,"4,3,10","5,10,9",2,0
380,"10,9","10,5,9",0,0
381,"2,8,10","5,8,10",2,0
382,"10,10","10,10",0,0
383,"10,10","10,10",0,0
384,"10,9","6,10,5",0,-1
